@relation Gestures

@attribute Mean_GyroX numeric
@attribute Max_GyroX numeric
@attribute Min_Gyrox numeric
@attribute RMS_Gyrox numeric
@attribute Mean_AcclY numeric
@attribute Max_AcclY numeric
@attribute Min_AcclY numeric
@attribute RMS_AcclY numeric
@attribute Mean_AcclZ numeric
@attribute Max_AcclZ numeric
@attribute Min_AcclZ numeric
@attribute RMS_AcclZ numeric
@attribute Mean_AcclX numeric
@attribute Max_AcclX numeric
@attribute Min_AcclX numeric
@attribute RMS_AcclX numeric
@attribute Mean_GyroY numeric
@attribute Max_GyroY numeric
@attribute Min_GyroY numeric
@attribute RMS_GyroY numeric
@attribute Mean_GyroZ numeric
@attribute Max_GyroZ numeric
@attribute Min_GyroZ numeric
@attribute RMS_GyroZ numeric
@attribute result {straight,forward,straight_to_forward,forward_to_straight}

@data
0.088018,0.61712,-0.121546,0.203584,51.649158,56.167004,47.294594,51.689014,34.151443,37.665588,32.530243,34.187962,-50.466728,-46.415401,-54.828102,50.509449,-0.015604,0.118663,-0.209603,0.079871,-0.042074,0.194581,-0.361402,0.138024,straight
0.088018,0.61712,-0.121546,0.203584,51.649158,56.167004,47.294594,51.689014,34.151443,37.665588,32.530243,34.187962,-50.466728,-46.415401,-54.828102,50.509449,-0.015604,0.118663,-0.209603,0.079871,-0.042074,0.194581,-0.361402,0.138024,straight
0.088018,0.61712,-0.121546,0.203584,51.649158,56.167004,47.294594,51.689014,34.151443,37.665588,32.530243,34.187962,-50.466728,-46.415401,-54.828102,50.509449,-0.015604,0.118663,-0.209603,0.079871,-0.042074,0.194581,-0.361402,0.138024,straight
0.088018,0.61712,-0.121546,0.203584,51.649158,56.167004,47.294594,51.689014,34.151443,37.665588,32.530243,34.187962,-50.466728,-46.415401,-54.828102,50.509449,-0.015604,0.118663,-0.209603,0.079871,-0.042074,0.194581,-0.361402,0.138024,straight
-0.004722,0.10476,-0.090094,0.050225,48.033726,50.545132,37.887775,48.124485,27.506433,30.204874,22.062256,27.564072,-54.833961,-44.005756,-57.701283,54.93346,0.01678,0.133444,-0.110918,0.069777,-0.003447,0.077214,-0.059381,0.031473,straight
-0.004722,0.10476,-0.090094,0.050225,48.033726,50.545132,37.887775,48.124485,27.506433,30.204874,22.062256,27.564072,-54.833961,-44.005756,-57.701283,54.93346,0.01678,0.133444,-0.110918,0.069777,-0.003447,0.077214,-0.059381,0.031473,straight
-0.004722,0.10476,-0.090094,0.050225,48.033726,50.545132,37.887775,48.124485,27.506433,30.204874,22.062256,27.564072,-54.833961,-44.005756,-57.701283,54.93346,0.01678,0.133444,-0.110918,0.069777,-0.003447,0.077214,-0.059381,0.031473,straight
-0.004722,0.10476,-0.090094,0.050225,48.033726,50.545132,37.887775,48.124485,27.506433,30.204874,22.062256,27.564072,-54.833961,-44.005756,-57.701283,54.93346,0.01678,0.133444,-0.110918,0.069777,-0.003447,0.077214,-0.059381,0.031473,straight
0.008512,0.04308,-0.022515,0.021821,48.752445,49.22921,48.258072,48.753139,28.282709,28.87746,27.846943,28.283825,-56.197128,-55.374004,-56.573082,56.197823,-0.003626,0.027009,-0.03053,0.016035,-0.003312,0.030462,-0.035572,0.017369,straight
0.008512,0.04308,-0.022515,0.021821,48.752445,49.22921,48.258072,48.753139,28.282709,28.87746,27.846943,28.283825,-56.197128,-55.374004,-56.573082,56.197823,-0.003626,0.027009,-0.03053,0.016035,-0.003312,0.030462,-0.035572,0.017369,straight
0.008512,0.04308,-0.022515,0.021821,48.752445,49.22921,48.258072,48.753139,28.282709,28.87746,27.846943,28.283825,-56.197128,-55.374004,-56.573082,56.197823,-0.003626,0.027009,-0.03053,0.016035,-0.003312,0.030462,-0.035572,0.017369,straight
0.008512,0.04308,-0.022515,0.021821,48.752445,49.22921,48.258072,48.753139,28.282709,28.87746,27.846943,28.283825,-56.197128,-55.374004,-56.573082,56.197823,-0.003626,0.027009,-0.03053,0.016035,-0.003312,0.030462,-0.035572,0.017369,straight
-0.070054,0.05874,-0.496645,0.166154,47.255161,49.522274,38.470081,47.345726,29.506481,35.476215,24.567677,29.604429,-55.411789,-47.873066,-59.879162,55.448528,-0.024302,0.035371,-0.192719,0.055695,-0.022805,0.3546,-0.413081,0.142168,straight
-0.070054,0.05874,-0.496645,0.166154,47.255161,49.522274,38.470081,47.345726,29.506481,35.476215,24.567677,29.604429,-55.411789,-47.873066,-59.879162,55.448528,-0.024302,0.035371,-0.192719,0.055695,-0.022805,0.3546,-0.413081,0.142168,straight
-0.070054,0.05874,-0.496645,0.166154,47.255161,49.522274,38.470081,47.345726,29.506481,35.476215,24.567677,29.604429,-55.411789,-47.873066,-59.879162,55.448528,-0.024302,0.035371,-0.192719,0.055695,-0.022805,0.3546,-0.413081,0.142168,straight
-0.070054,0.05874,-0.496645,0.166154,47.255161,49.522274,38.470081,47.345726,29.506481,35.476215,24.567677,29.604429,-55.411789,-47.873066,-59.879162,55.448528,-0.024302,0.035371,-0.192719,0.055695,-0.022805,0.3546,-0.413081,0.142168,straight
0.093806,0.475105,-0.083142,0.178377,47.80368,51.897449,44.258598,47.828953,28.034422,35.068226,21.140921,28.316801,-55.249802,-39.309048,-63.244629,55.386772,0.027065,0.497729,-0.158523,0.154374,0.007251,0.281135,-0.291466,0.136948,straight
0.093806,0.475105,-0.083142,0.178377,47.80368,51.897449,44.258598,47.828953,28.034422,35.068226,21.140921,28.316801,-55.249802,-39.309048,-63.244629,55.386772,0.027065,0.497729,-0.158523,0.154374,0.007251,0.281135,-0.291466,0.136948,straight
0.093806,0.475105,-0.083142,0.178377,47.80368,51.897449,44.258598,47.828953,28.034422,35.068226,21.140921,28.316801,-55.249802,-39.309048,-63.244629,55.386772,0.027065,0.497729,-0.158523,0.154374,0.007251,0.281135,-0.291466,0.136948,straight
0.093806,0.475105,-0.083142,0.178377,47.80368,51.897449,44.258598,47.828953,28.034422,35.068226,21.140921,28.316801,-55.249802,-39.309048,-63.244629,55.386772,0.027065,0.497729,-0.158523,0.154374,0.007251,0.281135,-0.291466,0.136948,straight
0.158217,0.734328,-0.837694,0.383327,46.523842,57.385235,30.235516,46.937931,26.67536,34.64299,22.426191,26.84952,-57.164017,-41.440956,-80.512474,57.839123,-0.017514,0.542698,-0.646715,0.291542,-0.166661,0.280097,-0.62695,0.268262,straight
0.158217,0.734328,-0.837694,0.383327,46.523842,57.385235,30.235516,46.937931,26.67536,34.64299,22.426191,26.84952,-57.164017,-41.440956,-80.512474,57.839123,-0.017514,0.542698,-0.646715,0.291542,-0.166661,0.280097,-0.62695,0.268262,straight
0.158217,0.734328,-0.837694,0.383327,46.523842,57.385235,30.235516,46.937931,26.67536,34.64299,22.426191,26.84952,-57.164017,-41.440956,-80.512474,57.839123,-0.017514,0.542698,-0.646715,0.291542,-0.166661,0.280097,-0.62695,0.268262,straight
0.158217,0.734328,-0.837694,0.383327,46.523842,57.385235,30.235516,46.937931,26.67536,34.64299,22.426191,26.84952,-57.164017,-41.440956,-80.512474,57.839123,-0.017514,0.542698,-0.646715,0.291542,-0.166661,0.280097,-0.62695,0.268262,straight
-0.016387,0.002054,-0.044526,0.021051,51.347851,53.874199,46.015072,51.39138,16.675508,18.254322,13.963696,16.73296,-58.839092,-50.478088,-61.256371,58.912819,-0.125851,0.004052,-0.250244,0.153098,0.034256,0.120944,-0.067118,0.074345,straight
-0.016387,0.002054,-0.044526,0.021051,51.347851,53.874199,46.015072,51.39138,16.675508,18.254322,13.963696,16.73296,-58.839092,-50.478088,-61.256371,58.912819,-0.125851,0.004052,-0.250244,0.153098,0.034256,0.120944,-0.067118,0.074345,straight
-0.016387,0.002054,-0.044526,0.021051,51.347851,53.874199,46.015072,51.39138,16.675508,18.254322,13.963696,16.73296,-58.839092,-50.478088,-61.256371,58.912819,-0.125851,0.004052,-0.250244,0.153098,0.034256,0.120944,-0.067118,0.074345,straight
-0.016387,0.002054,-0.044526,0.021051,51.347851,53.874199,46.015072,51.39138,16.675508,18.254322,13.963696,16.73296,-58.839092,-50.478088,-61.256371,58.912819,-0.125851,0.004052,-0.250244,0.153098,0.034256,0.120944,-0.067118,0.074345,straight
0.002535,0.086104,-0.024406,0.034195,50.033398,54.678692,48.143147,50.058586,21.459715,26.902622,9.479606,21.994293,-58.315033,-48.164215,-61.256371,58.413231,-0.030489,0.043574,-0.069585,0.04914,-0.02051,0.015907,-0.065746,0.026068,straight
